;Feature;PosTags;Label
0;warum#so#lange#gewartet#mit#Anschau#?;PWAV#ADV#ADV#ADJD#APPR#NN#$.;0
1;trauen#sie#sie#?;VVFIN#PPER#PRF#$.;1
2;fangen#sie#mit#die#doppelt#Wert#an#und#arbeiten#sie#weiter#vor#?;VVFIN#PPER#APPR#ART#ADJA#NN#PTKVZ#KON#VVFIN#PPER#ADV#PTKVZ#$.;1
3;sehr#kreativ#die#Jungs#nicht#?;ADV#ADJD#ART#NN#PTKNEG#$.;1
4;wollen#sie#morgen#was#machen#?;VMFIN#PPER#ADV#PIS#VVINF#$.;1
5;Aber#sinken#die#Rente#ueberhaupt#immer#weiter#?;NN#VVFIN#ART#NN#ADV#ADV#PTKVZ#$.;1
6;und#die#Taenzerin#sein#doch#legendaer#oder#?;KON#ART#NN#VAFIN#ADV#ADJD#KON#$.;1
7;wie#variabel#nutzen#die#Deutsche#ihre#Passwort#?;PWAV#ADJD#VVFIN#ART#NN#PPOSAT#NN#$.;0
8;sollen#sie#nicht#irgendwas#machen#?;VMFIN#PPER#PTKNEG#PIS#VVINF#$.;1
9;wo#koennen#man#die#kaufen#?;PWAV#VMFIN#PIS#PDS#VVINF#$.;0
10;warum#nicht#in#Osten#mit#koalieren#?;PWAV#PTKNEG#APPRART#NN#PTKVZ#VVINF#$.;0
11;auf#was#sollen#sie#stolz#sein#?;APPR#PIS#VMFIN#PPER#ADJD#VAINF#$.;0
12;Cola#ohne#Zucker#mit#synthetisch#Ersatzstoff#?;NN#APPR#NN#APPR#ADJA#NN#$.;1
13;gegen#wen#hetzen#sie#?;APPR#PWS#VVFIN#PPER#$.;0
14;und#wo#schueren#sie#Angst#?;KON#PWAV#VVFIN#PPER#NN#$.;0
15;Nizza#wollen#Ballotelli#wieder#verkaufen#?;NE#VMFIN#NE#ADV#VVINF#$.;1
16;brauchen#die#Muppets#noch#Personal#?;VVFIN#ART#NN#ADV#NN#$.;1
17;haben#sie#eigentlich#eine#Klimaanlage#?;VAFIN#PPER#ADV#ART#NN#$.;1
18;und#was#haben#sie#so#diese#Sommer#machen#?;KON#PWS#VAFIN#PPER#ADV#PDAT#NN#VVPP#$.;0
19;was#machen#sie#auf#die#Maennertoilette#?;PWS#VVFIN#PPER#APPR#ART#NN#$.;0
20;hyperventilieren#die#noch#immer#?;VVFIN#ART#ADV#ADV#$.;1
21;was#sein#die#Welt#ohne#Senior#?;PWS#VAFIN#ART#NN#APPR#NN#$.;0
22;Wieviele#Opfer#muessen#sie#noch#geben#?;ADJA#NN#VMFIN#PPER#ADV#VVINF#$.;0
23;Wievie#leid#muessen#die#Angehoerige#noch#ertragen#?;NN#ADJD#VMFIN#ART#NN#ADV#VVINF#$.;0
24;eine#Beziehung#ohne#Kuss#und#ohne#dass#man#sie#mal#treffen#haben#?;ART#NN#APPR#NN#KON#APPR#KOUS#PIS#PRF#ADV#VVPP#VAFIN#$.;1
25;brauchen#sie#fuer#die#kommend#Tag#welche#?;VVFIN#PPER#APPR#ART#ADJA#NN#PIS#$.;1
26;ab#wann#beginnen#die#College#Football#Saison#?;APPR#PWAV#VVFIN#ART#NN#FM#NN#$.;0
27;Welche#Konzern#?;PWAT#NN#$.;0
28;koennen#sie#resetten#?;VMFIN#PPER#VVINF#$.;1
29;haben#vielleicht#noch#irgendwer#Unit#ickets#fuer#die#GC#Samstag#?;VAFIN#ADV#ADV#PIS#FM#FM#APPR#ART#ADJA#NN#$.;1
30;welche#Kriterium#muessen#man#dafuer#denn#erfuellen#?;PIS#NN#VMFIN#PIS#PROP#ADV#VVINF#$.;0
31;wie#viel#verdienen#sie#mit#Youtube#?;PWAV#ADV#VVFIN#PPER#APPR#NN#$.;0
32;Renderzentrale#dann#gleich#neben#Rewe#?;NN#ADV#ADV#APPR#NE#$.;1
33;kennen#jemand#die#oder#die#MalerIn#diese#Bild#?;VVFIN#PIS#ART#KON#ART#NN#PDAT#NN#$.;0
34;ach#wie#schoen#sein#die#denn#?;ITJ#KOUS#ADJD#VAFIN#PDS#ADV#$.;0
35;was#sein#da#los#?;PWS#VAFIN#ADV#ADJD#$.;0
36;fallen#die#unter#Wahnvorstellung#eine#sinnig#?;VVFIN#PDS#APPR#NN#ART#ADJA#$.;1
37;Wovon#wollen#sie#etwas#stehlen#?;NN#VMFIN#PPER#PIS#VVINF#$.;0
38;was#noch#passieren#muessen#?;PWS#ADV#VVINF#VMFIN#$.;0
39;sie#wollen#noch#eine#Ticket#fuer#die#Gamescom#?;PPER#VMFIN#ADV#ART#NN#APPR#ART#NE#$.;1
40;sie#haben#auch#gerne#eine#zuhause#?;PPER#VAFIN#ADV#ADV#ART#ADV#$.;1
41;was#sein#die#?;PWS#VAFIN#PDS#$.;0
42;was#tun#sie#da#?;PWS#VVFIN#PPER#ADV#$.;0
43;wieso#gehen#sie#da#hin#?;PWAV#VVFIN#PPER#ADV#PTKVZ#$.;0
44;und#dazu#nudeln#ohne#Tuete#?;KON#PROP#VVFIN#APPR#NN#$.;1
45;kommen#sie#bei#sie#vorbei#?;VVFIN#PPER#APPR#PPER#PTKVZ#$.;1
46;sein#sie#eigentlich#die#einzig#die#sie#einfach#mal#so#gar#nicht#fuer#Danny#Williams#interessieren#haben#?;VAFIN#PPER#ADV#ART#ADJA#PDS#PRF#ADV#ADV#ADV#ADV#PTKNEG#APPR#NE#NE#VVPP#VAFIN#$.;1
47;na#was#haben#sie#da#zu#suchen#?;ITJ#PWS#VAFIN#PPER#ADV#PTKZU#VVINF#$.;0
48;wer#bieten#mehr#?;PWS#VVFIN#ADV#$.;0
