;Feature;PosTags;Label
0;wann#haben#Zeit#?;PWAV#VAFIN#NN#$.;0
1;Wohin#mit#all#die#Euro#Zahl#Dieseln#?;NN#APPR#PIAT#ART#NN#NN#VVINF#$.;0
2;sie#haben#dort#nichtmal#gespielt#richtig#?;PPER#VAFIN#ADV#ADV#ADJD#ADJD#$.;1
3;was#denken#sie#bezueglich#die#News#zu#die#Babyiconen#bzw#Icon#SBCs#?;PWS#VVFIN#PPER#APPR#ART#NE#APPR#ART#NN#ADJA#NN#NE#$.;0
4;glauben#sie#die#wirklich#?;VVFIN#PPER#PDS#ADJD#$.;1
5;Welcher#Verlag#stehen#eigentlich#hinter#meine#Buch#?;PWAT#NN#VVFIN#ADV#APPR#PPOSAT#NN#$.;0
6;wie#fuehlen#sie#sie#mit#Aussage#wie#diese#?;PWAV#VVFIN#PPER#PRF#APPR#NN#KOUS#PDS#$.;0
7;sein#die#Logo#von#Aufstehen#eigentlich#markenrechtlich#schuetzen#?;VAFIN#ART#NN#APPR#NN#ADV#ADJD#VVPP#$.;1
8;wie#unantastbar#sein#sie#wirklich#?;PWAV#ADJD#VAFIN#PPER#ADJD#$.;0
9;woher#die#Hass#?;PWAV#ART#NN#$.;0
10;Lecker#oder#?;NN#KON#$.;1
11;tja#und#nun#?;ITJ#KON#ADV#$.;0
12;wie#nennen#man#eine#Chinese#die#immer#puenktlich#sein#?;PWAV#VVFIN#PIS#ART#NN#ART#ADV#ADJD#VAFIN#$.;0
13;Welche#Strategie#fuer#Black#Friday#und#Cyber#Monday#zahlen#sie#aus#?;PWAT#NN#APPR#NE#NE#KON#NE#NE#VVFIN#PRF#PTKVZ#$.;0
14;warum#sein#Verkehr#eine#so#hoch#emotional#Thema#?;PWAV#VAFIN#NN#ART#ADV#ADJD#ADJA#NN#$.;0
15;Welche#Naturwissenschaft#denn#?;PWAT#NN#ADV#$.;0
16;wann#und#wo#gehts#los#?;PWAV#KON#PWAV#ADJD#PTKVZ#$.;0
17;haben#sie#die#Pakt#lesen#?;VAFIN#PPER#ART#NN#VVPP#$.;1
18;sein#sie#dabei#?;VAFIN#PPER#PROP#$.;1
19;sie#haben#eine#Date#und#keine#passend#Keller#?;PPER#VAFIN#ART#NN#KON#PIAT#ADJA#NN#$.;1
20;sein#die#die#Vegetation#der#Kanaren#?;VAFIN#PDS#ART#NN#ART#NE#$.;1
21;irgendwie#rueckstaendig#und#nur#noch#nervig#oder#?;ADV#ADJD#KON#ADV#ADV#ADJD#KON#$.;1
22;wie#sein#sie#mit#Nordkorea#?;PWAV#VAFIN#PPER#APPR#NE#$.;0
23;aber#ansonsten#sein#alle#okay#bei#sie#?;KON#ADV#VAFIN#PIS#ADV#APPR#PPER#$.;1
24;bitte#wo#koennen#man#in#Magenta#App#Cookie#loeschen#?;ADV#PWAV#VMFIN#PIS#APPR#NE#NN#NN#VVINF#$.;0
25;warum#sehen#die#aus#wie#eine#Microphon#?;PWAV#VVFIN#PDS#PTKVZ#KOUS#ART#NN#$.;0
26;was#heissen#offiziell#?;PWS#VVFIN#ADJD#$.;0
27;sagen#mal#kennen#sie#diese#Bild#?;VVFIN#KON#VVFIN#PPER#PDAT#NN#$.;1
28;sein#die#Tankstelle#heute#schon#pleite#gehen#?;VAFIN#ART#NN#ADV#ADV#ADJD#VVPP#$.;1
29;was#sein#passieren#?;PWS#VAFIN#VVPP#$.;0
30;was#sein#deine#Meinung#Alex#?;PWS#VAFIN#PPOSAT#NN#NE#$.;0
31;wenn#man#sie#spielen#koennen#warum#sollen#man#sie#nicht#tun#?;KOUS#PIS#PPER#VVINF#VMFIN#PWAV#VMFIN#PIS#PPER#PTKNEG#VVINF#$.;0
32;und#was#haben#die#mit#Schwimmbad#zu#tun#?;KON#PWS#VAFIN#ART#APPR#NN#PTKZU#VVINF#$.;0
33;und#was#zu#Hoelle#machen#sie#in#Fernsehen#?;KON#PWS#APPRART#NN#VVFIN#PPER#APPRART#NN#$.;0
34;koennen#man#die#so#sagen#?;VMFIN#PIS#PDS#ADV#VVINF#$.;1
