Wann hast Zeit?;0
Wohin mit all den Euro-5-Dieseln?;0
Du hast dort nichtmal gespielt, richtig?;1
Was denkst du bezüglich der News zu den Babyiconen bzw. Icon SBCs?;0
Glaubst du das wirklich?;1
Welcher Verlag steht eigentlich hinter meinem Buch?;0
Wie fühlen Sie sich mit Aussagen wie dieser?;0
Ist das Logo von #Aufstehen eigentlich markenrechtlich geschützt?;1
Wie unantastbar sind sie wirklich?;0
Woher der Hass?;0
Lecker oder?;1
Tja und nun?;0
Wie nennt man einen Chinesen der immer pünktlich ist?;0
Welche Strategie für Black Friday und Cyber Monday zahlte sich aus?;0
Warum ist Verkehr ein so hoch emotionales Thema?;0
Welche Naturwissenschaften denn?;0
Wann und wo gehts los?;0
Haben Sie den Pakt gelesen?;1
Bist du dabei?;1
Sie haben ein Date und keinen passenden Keller?;1
Ist das die Vegetation der Kanaren?;1
Irgendwie rückständig und nur noch nervig, oder?;1
Wie wäre es mit Nordkorea?;0
Aber ansonsten ist alles okay bei euch?;1
Bitte wo kann man in Magenta App Cookies löschen?;0
Warum sieht das aus wie ein Microphon?;0
"Was heißt ""offiziell""?";0
Sagt mal, kennt ihr dieses Bild?;1
Sind die Tankstellen heute schon Pleite gegangen?;1
Was ist passiert?;0
Was ist deine Meinung, Alex?;0
Wenn man es spielen kann, warum sollte man es nicht tun?;0
Und was hat das mit Schwimmbad zu tun?;0
Und was zur Hölle machst Du im Fernsehen?;0
Kann man das so sagen?;1
Ach und einen passenden Hashtag gibt es auch schon dazu?;1
Hilft das?;1
Achso es geht also um die Praxis?;1
Was geht ab Freunde?;0
Was hat die NATO mit der Ukraine zu tun?;0
Worauf beziehst du diese Annahme?;0
Was willst du?;0
Wie kommt man nur auf sowas?;0
Was für Macken macht die?;0
Was haltet ihr für wichtig?;0
Schon gesehen?;1
Warum habe ich allein wegen der Bebilderung schon Angst vor einem Abo?;0
Aber tut das wirklich not?;1
Wer will mein neues Backbuch sehen?;0
Das ist die Republik oder?;1
Was ist eigentlich aus dem #OceanCleanup Projekt geworden?;0
Bei euch wurden jetzt alle Bodenstrukturen plattgemacht?;1
"Na, habt Ihr ihn schon gesehen, den Trailer zum neuen ""König der Löwen""?";1
Was ist das für eine Vorrichtung da hinten?;0
Sprechen Sie von sich?;1
Karotten sind doch orange?;1
Was soll ich damit tun?;0
Dürfen die das?;1
Angst vor Strahlung?;1
Welchen Samstag meinst du?;0
Welche Werte denn?;0
Welchen Einfluss haben Nichtregierungsorganisationen auf internationale Menschenrechtsnormen?;0
Warum kriegt dieser Tweet 34 Likes?;0
Wie viele virtuelle Organe habt ihr?;0
Wollen wir endlich Banner machen?;1
"Hast du eine ""Buisness-Mail"" wo man eine Tasse in Auftrag geben kann?";0
Warum setzt du hier Gerüchte über mich in die Welt?;0
Welcher Baumschüler wählt die noch?;0
Auf welche Hardware setze ich?;0
Kennt ihr das, wenn euch etwas nicht mehr einfällt und es einen wahnsinnig macht?;1
Wie findet ihr meine Fotos?;0
Was ist das für ein Haustier?;0
Wer führte die Bank weiter?;0
Ihr braucht eine neue Tastatur und Maus?;1
Wer hat die Rückenschmerzen?;0
Ist das dieses Bild, welches nicht verbreitet werden soll?;1
Magst du mir einen Namen geben?;1
Wieviele Unternehmen führe ich gleichzeitig?;0
Wirst du in der Schule gemobbt?;1
Hätten sie das gedacht?;1
Hast du unseren technischen Dienst bereits kontaktiert?;1
Wer hat verloren?;0
Was mögt ihr und was nervt euch?;0
Was um Gottes willen haben wir mit der Ukraine zu tun?;0
Ist Reisen noch zeitgemäß?;1
Was hat sich im November alles im Universum getan?;0
Wie viel würdest du denn haben wollen?;0
Du hast reingeschaut, als du es in der Hand hattest?;1
Feierabend, wo bist du?;0
Wer kennt noch dieses Teil?;0
In was für einem Land leben wir?;0
Wie lange hat das jetzt gedauert?;0
Vergräbst du das neue Futter?;1
Welche Spielmodi spielt ihr derzeit gerne?;0
Wann gibt es das Ergebnis?;0
Hat er das Brötchen dann wenigstens bekommen?;1
Warum fühlt es sich so einsam an?;0
Habt Ihr Lust auf Weihnachtsmarkthopping?;1
Was ist denn so passiert?;0
Wer hat dich gepiesackt?;0
Ein wenig spät, oder?;1
Wie wollen Sie dann Menschen mit Gesetzen verteidigen?;0
Hallo, wie geht es dir heute?;0
Wie lange wollen wir das noch unterstützen?;0
Ah, ist das einer dieser modernen Wechselstromakkus?;1
Ist das Raum- und Kundenklima wirklich so schlimm wie alle sagen?;1
Wollen wir in den Kaiserpalast in Tokyo gehen?;1
Wie war das noch vor zwei Jahren?;0
Ich möchte auch bei Twitter mitmachen, was muss ich da tun?;0
Magst du das Lied so gerne?;1
Bin ich bei seinen 19 Followern bekannt?;1
Wer pflastert denn als erstes die komplette Rückseite zu?;0
Was hat diese Nachricht mit Rassismus zu tun?;0
Wie zufrieden sind Sie mit der Arbeit von Bundeskanzlerin Angela Merkel?;0
Warum höre ich mir, wenn ich eh schon depri drauf bin, auch noch Lieder an, die ne super traurige Stimmung haben?;0
Warum fliegen wir mit #InSight zum #Mars und was hat es mit unserem #MarsMaulwurf auf sich?;0
Schokoladenkuss mit Weiß, Vollmilch oder Zartbitter?;0
Wie kann man so lange bei 39 Followern hängen bleiben ?;0
Hattet ihr das abgesprochen?;1
Hast du schon mit den Kollegen der Technik gesprochen?;1
Weißt du auch das man danach den Mund ausspülen muss?;1
Was los mit dir?;0
Und was sagt uns das?;0
Könnt ihr den Mond über dem Strandhaus sehen?;1
Kann man Memes klauen?;1
Kannst du da nicht was drehen?;1
Was gab es denn zu betrauen, dass es nur Halbmast war?;0
Was wird verlost?;0
Nächstes Jahr bist dabei?;1
In was für einer Welt leben wir eigentlich?;0
Ist das der Anfang vom Ende für Nvidia Pascal?;1
Von welcher Ruine blicken wir da auf ein Dorf hinunter?;0
Was soll ich sagen?;0
Spielt in diesem Fall keine Rolle, oder?;1
Worauf willst du denn hinaus?;0
