Sie kalkulieren mit einem Job im Finanz- und Rechnungswesen?;1
Du willst einen Job, in dem du viel bewegen kannst?;1
Wie nimmt mein Baby die Medizin?;0
"Weiß jemand, wie es mit diesen ""angehefteten"" Tweets funktioniert?";0
Muss man dafür zahlen?;1
Erinnerst du dich noch, wann du dich für Twitter registriert hast?;1
Was sind die Ursachen dieser Gewalt?;0
Wie können sie bekämpft werden?;0
Steht Megatron mit auf der Liste?;1
Warum wird der Mann jetzt an die Öffentlichkeit gezerrt?;0
Wen interessiert das schon?;0
"Ist ""Made in Germany"" immer noch ein Gütesiegel?";1
Ich hoffe, Du kannst ihn genießen?;1
Habt ihr schon neue Informationen bezüglich der Übertragungen?;1
Oma, kann ich zwei Kugeln Eis haben?;1
Kann das denn so schwierig sein?;1
Schon gelesen?;1
Ich will ihm helfen, aber wie?;0
Wisst ihr da mehr?;1
Warum sollte das ein Skandal sein?;0
Darf ich das Foto klauen?;1
Warum sieht auf diesem Foto alles so aus, als sei es 2002?;0
Wer kennt das nicht?;0
Fallen jetzt auch die anderen?;1
Was willst du mir jetzt damit sagen?;0
Mama, was ist eine Goldwaage?;0
Ist Künstliche Intelligenz der Zukunftsträger der Logistik?;1
Welchen Mehrwert hat User Generated Content für Museen und Kulturinstitutionen?;0
Wer kann da widersprechen?;0
Freut ihr euch auch schon so sehr?;1
Was ist denn heute morgen los?;0
Was ist verkehrt an dem Kundenbild?;0
Weißt du wie das Pedal funktioniert?;1
Sehen wir uns heute Abend, 19 Uhr?;1
Wer mag noch mitmachen?;0
Ist noch irgendwo Kaffee in der Kanne?;1
Ab wann sind historische Vergleiche erlaubt?;0
Und wieso gelten für dieses Kabel die Längenbeschränkungen nicht?;0
Echt jetzt?;1
Merken Sie den Unterschied?;1
Wer feiert mit uns?;0
Um 10 ist regulär einlass oder?;1
Woher kommt eigentlich diese Zunahme?;0
Was glaubt ihr eigentlich, wofür öffentliche Räume so sind?;0
Können wir nicht von etwas anderem sprechen?;1
Ob es den wohl noch gibt?;1
Stimmt oder stimmt nicht?;0
Hattest du dir eigentlich den Wischsauger gekauft?;1
Schon eine Wattwanderung gemacht?;1
Bist du in der Nähe von St. PeterOrding?;1
Wie findet man die Richtigen?;0
Warum wollen Sie für uns arbeiten?;0
Wie wäre es denn mal mit einer Freigrenze bei der Grunderwerbsteuer?;0
Könnt ihr schon schlafen?;1
Hast du schon unsere neue, wasserabweisende Fieldjacke für Herren entdeckt?;1
Schon gewusst?;1
Gibst du freiwillig ab oder bist du verpflichtet?;0
Dürfen Arbeitnehmer während der Arbeitszeit einfach zum Arzt gehen?;1
Was geschieht bei euch in der Region, wovon wir nichts mitbekommen?;0
Wie sieht es den optisch aus?;0
Noch besser als auf der wiiU?;1
Geht es euch auch immer so, wenn ihr in ein Büchergeschäft geht?;1
Hat das da nicht Tradition?;1
Wurden alle verbeamtet?;1
Könnten wir jetzt bitte den Sommer noch mal von vorne starten?;1
Müsste man als Fahrradfahrer dann nicht auf der Straße fahren?;1
Wo sind die Kinder?;0
Wie funktioniert der Betrieb eines Privatpools?;0
Wie lange kann die aktuelle Hochphase der Bullen an der Börse eigentlich noch anhalten?;0
Hast du am Gewinnspiel teilgenommen?;1
Sie wollen eine unserer Schalungslösungen unverbindlich testen?;1
Was ist der Grund dafür, dass ich jemanden vertraue?;0
Und dann hast du sicher schlechte Laune?;1
Wer hilft Kranken oder älteren Leute schwere Sachen Treppen hochzuwuchten?;0
Wer kann mir helfen?;0
Lügen die Medien?;1
Wann seid ihr eigentlich da?;0
Wer ist Archie?;0
Oh, fährst du durch Kutenhausen?;1
Warum aber keine ExpertInnen der Arbeit im Digitalrat?;0
Hat William sich scheiden lassen?;1
Würde darunter nicht auch der Videofilm einer Handykamera fallen?;1
Hast Du Urteile/Aktenzeichen?;1
Ab wann beginnt man zu fantasieren?;0
In welcher Welt soll das klappen?;0
Wann macht der Pausenclown eigentlich Pause?;0
Wieviel Chinesen gibt es?;0
Hast Du einen Telefonjoker bemüht?;1
Wenn man zuerst Pasta und dann Antipasti isst, hat man dann überhaupt was gegessen?;1
Warum schreibt man fast alles doppelt?;0
Wo muss man eigentlich hinkommen, um dich morgen zu sehen?;0
Ja und was beweist das jetzt?;0
Wann geht es endlich los?;0
Wieviel Personen haben bei der Umfrage teilgenommen?;0
Welche Konsequenzen zieht man denn daraus?;0
Was lernen wir aus der heutigen Hitzewelle?;0
Können wir mal ne Runde zusammen spielen?;1
Wie sagte vorhin jenand?;0
Wieso ist heute schon Donnerstag?;0
Würde ein langer Rock denn gehen?;1
Haben Sie schon das gehört?;1
Wie lange kennt Ihr Euch schon?;0
Wie kann man nur so sein?;0
Ist das gut?;1
"Ist ""Made in Germany"" immer noch ein Gütesiegel?";1
Haben sich die Ärzte jetzt abgesprochen das sie einfach nicht mehr ans Telefon gehen?;1
Warum sollte das ein Skandal sein?;0
Gibt es dazu konkrete Zahlen oder ist das nur Gesülze?;0
Gibt es in Photoshop eine Möglichkeit, viele Einzelbilder automatisch in einem Raster anzuordnen?;1
Wer denn sonst?;0
Sehen Sie immer das Glas halbvoll und nicht halbleer?;1
Wie heißt die Firma, die weltweit die größte Summe von Firmenanleihen besitzt?;0
Du wohnst in der Nähe von Korneuburg und möchtest zwichen 8 und 18 Stunden arbeiten?;1
Fällt euch was auf?;1
War der Tweet bevor oder nachdem das Brot geschmiert wurde?;0
Sollen wir daraus ein Geburtstagsgeschenk machen?;1
Hab ich was verpasst?;1
Lassen sie mich raten, heute war es auch wieder ein vorausfahrender Zug?;1
Was ist denn mit Karsten los?;0
Was will uns der Künstler mit diesem Werk denn sagen?;0
Wo kann man den Artikel lesen?;0
Fällt euch was auf?;1
Vielleicht Spaß an der Sache?;1
Welche Games wollt ihr auf YouTube bzw. Twitch sehen?;0
Wäre das machbar?;1
Und warum werden dann Windkraftanlagen in den Wald gebaut?;0
Wisst ihr was so richtig richtig witzig ist?;1
Wussten Sie es?;1
Auf Basis welcher Berechnung steht Ihre Aussage?;0
Was ist hier los?;0
Gibt's was um sonst?;1
Warum sind Sie dann nicht hier?;0
Der Typ ist doch dein Bruder, oder?;1
Wollen wir für mich sammeln?;1
Woher ist dieser Pullover?;0
Wer sind Sie?;0
Wo ist der Schnurrbart?;0
Kommt die Frau wieder?;1
Habt ihr noch einen Platz frei?;1
Wo kommst du denn ursprünglich her?;0
Was meinst wäre los, wenn ich Dir das Recht auf Selbstbestimmung abspräche?;0
Was wäre, wenn der Rest der Welt die USA mit denselben Standards behandeln würde?;0
Warum sprichst du mir ab das nicht zu verstehen?;0
Wie kommst du jetzt darauf?;0
Gibt's ne Aufnahme wie er auf den Bericht reagiert?;1
Was nutzt Du denn für Teamkommunikation?;0
Hättest du mal Lust als Gast in meine Sendung zu kommen?;1
Gegenfrage, warum gehört das nicht mir?;0
Wer will das schon?;0
Führerschein machen?;1
Wie kann eine Umfrage, an der 123 Leute teilnehmen, 50/50 ausgehen?;0
Haben Sie Kummer?;1
Ist schon Herbst?;1
Wer hat den älteren Herren gesehen?;0
Sind das die Wildcards?;1
Soll man der Türkei helfen?;1
Ist diese Berechnung des Instituts einsehbar oder nur übliches Geschwafel?;0
Ist das bei euch auch so?;1
Wo stehst du denn?;0
Warum wird in Österreich so viel Grund verbaut?;0
Was meint ihr?;0
Und Du meinst das dies seine einzige Quelle ist?;1
Sicher?;1
Was für ein Hund?;0
Weißt Du mehr?;1
Schon jemand wach?;1
Hey wie kann man denn so dumm sein?;0
Heute auch erst später auf der Messe?;1
Ist Ihnen das nicht peinlich?;1
Wer hat es sonst moderiert?;0
Ist das so?;1
Was passiert, wenn Optoelektronik auf Molekularbiologie trifft?;0
Hast du dich für das Video geschminkt?;1
Was ist Ihr Fazit?;0
Trägst du sie?;1
Ihr wollt keine Info mehr verpassen?;1
Wer kennt den Geldabheber?;0
Ist damit echt er gemeint?;1
Der Typ arbeitet beim LKA?;1
So so sehen Sie das?;1
Warum sehen solche Leute auch noch so aus wie man es von diesen erwartet?;0
Fragt ihr euch nicht auch ab und an, warum ein bisschen grün im blau von Augen ein Makel ist?;1
Welchen Teil verstehst Du denn nicht?;0
Ist das nicht seltsam?;1
Du kennst dich aus mit solchen Attests?;1
Mit welcher Bahn fahrt ihr?;0
Fremde Markennamen als eigene Keywords nutzen - darf man das?;1
Ist da aus Versehen eine kleine Fehlinformation reingerutscht?;1
Was trinkst du denn da Außerirdisches?;0
Welchen normalen Menschen würden solche schlimmen Taten nicht stören?;0
Wetten, dass da wieder nichts rumkommt?;1
Wo gibt es so was?;0
Was ist der Grund?;0
Was soll dieses Photo aussagen?;0
Wo sucht ihr euch aktuelle eigentlich neue Jobs?;0
Auf welchen Stellenbörsen, Portalen etc. schaut ihr?;0
